127.0.0.1 - - [23/Apr/2014:10:13:16 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:26 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:27 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:27 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:27 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:27 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:27 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:27 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:28 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:29 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:30 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:31 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:31 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:31 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:31 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:31 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:32 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:33 -0600] "PUT /hellorest-server/rest/auth/create HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:42 -0600] "GET /hellorest-server/rest/auth/retrieve/2 HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:46 -0600] "GET /hellorest-server/rest/auth/retrieve/100 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:51 -0600] "GET /hellorest-server/rest/auth/retrieve/150 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:17:56 -0600] "GET /hellorest-server/rest/auth/retrieve/100 HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:18:00 -0600] "GET /hellorest-server/rest/auth/retrieve/k HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2014:10:18:03 -0600] "GET /hellorest-server/rest/auth/retrieve/1 HTTP/1.1" 200 97
